timestep,curve_wind,curve_const,curve_crude,curve_wind2,wind3,demand,wind,timestamp
0,0.919736734,1,1,0.597693402,1,1,1,01.01.2020 00:00
1,0.916708884,1,0.9525,0.590461303,1,1,0.98,01.01.2020 00:15
2,0.878745173,1,0.9275,0.598134856,1,1,0.96,01.01.2020 00:30
3,0.860361332,1,0.887,0.57506542,0.946397465,1,0.94,01.01.2020 00:45
4,0.839165734,1,0.883,0.565898526,0.868309655,1,0.92,01.01.2020 01:00
5,0.765085765,1,0.8715,0.63215389,0.738514615,1,0.9,01.01.2020 01:15
6,0.718061448,1,0.8275,0.652930683,0.646255303,1,0.88,01.01.2020 01:30
7,0.186294045,1,0.72,0.704421762,0.157752141,1,0.86,01.01.2020 01:45
8,0.479116271,1,0.72,0.758144077,0.389071866,1,0.84,01.01.2020 02:00
9,0.632,1,0.8395,0.748876446,0.5056,1,0.82,01.01.2020 02:15
10,0.6810899,1,0.9525,0.731607405,0.553086869,1,0.8,01.01.2020 02:30
11,0.716033303,1,0.965,0.688857794,0.606330636,1,0.78,01.01.2020 02:45
12,0.766773407,1,0.953,0.676445761,0.690096066,1,0.76,01.01.2020 03:00
13,0.773036602,1,0.9605,0.676115834,0.746189323,1,0.74,01.01.2020 03:15
14,0.759305707,1,0.997,0.665993061,0.785676117,1,0.72,01.01.2020 03:30
15,0.711002651,1,1.0525,0.661318887,0.782102916,1,0.7,01.01.2020 03:45
16,0.652334586,1,1.15,0.652356312,0.752278043,1,0.68,01.01.2020 04:00
17,0.487054795,1,1.189,0.601220645,0.578591154,1,0.66,01.01.2020 04:15
18,0.336,1,1.152,0.534028918,0.4032,1,0.64,01.01.2020 04:30
19,0.071276311,1,1.046,0.509567579,0.084671876,1,0.62,01.01.2020 04:45
20,0.126852978,1,0.969,0.474151227,0.146287981,1,0.6,01.01.2020 05:00
21,0.264,1,0.9525,0.455974542,0.2904,1,0.58,01.01.2020 05:15
22,0.527712114,1,0.9375,0.427045276,0.546039364,1,0.56,01.01.2020 05:30
23,0.504307372,1,0.973,0.409248971,0.48679296,1,0.54,01.01.2020 05:45
24,0.68980255,1,1,0.393059108,0.620822295,1,0.52,01.01.2020 06:00
25,0.653452109,1,0.9525,0.383337137,0.553337438,1,0.5,01.01.2020 06:15
26,0.618790845,1,0.9275,0.370866217,0.502496206,1,0.48,01.01.2020 06:30
27,0.625717332,1,0.887,0.37350718,0.500573866,1,0.46,01.01.2020 06:45
28,0.658581857,1,0.883,0.361307227,0.534808955,1,0.44,01.01.2020 07:00
29,0.671177578,1,0.8715,0.333991458,0.568347207,1,0.42,01.01.2020 07:15
30,0.718061448,1,0.8275,0.307833476,0.646255303,1,0.4,01.01.2020 07:30
31,0.73,1,0.72,0.280542183,0.704647366,1,0.38,01.01.2020 07:45
32,0.610490485,1,0.72,0.296305,0.631692597,1,0.36,01.01.2020 08:00
33,0.869,1,0.8395,0.278921022,0.9559,1,0.34,01.01.2020 08:15
34,0.967216091,1,0.9525,0.253945612,1,1,0.32,01.01.2020 08:30
35,1,1,0.965,0.245959951,1,1,0.3,01.01.2020 08:45
36,1,1,0.953,0.205418386,1,1,0.28,01.01.2020 09:00
37,0.951360359,1,0.9605,0.200577058,1,1,0.26,01.01.2020 09:15
38,0.846248199,1,0.997,0.20215286,0.975900945,1,0.24,01.01.2020 09:30
39,0.711002651,1,1.0525,0.201518457,0.782102916,1,0.22,01.01.2020 09:45
40,0.585314538,1,1.15,0.205258502,0.605642299,1,0.2,01.01.2020 10:00
41,0.395760849,1,1.189,0.179755846,0.382016219,1,0.18,01.01.2020 10:15
42,0.252,1,1.152,0.155035886,0.2268,1,0.16,01.01.2020 10:30
43,0.050807467,1,1.046,0.132689039,0.043023311,1,0.14,01.01.2020 10:45
44,0.089326762,1,0.969,0.109139591,0.072538822,1,0.12,01.01.2020 11:00
45,0.192,1,0.9525,0.095484051,0.1536,1,0.1,01.01.2020 11:15
46,0.414151353,1,0.9375,0.082550208,0.336316359,1,0.08,01.01.2020 11:30
47,0.442407656,1,0.973,0.068127779,0.374626871,1,0.06,01.01.2020 11:45
48,0.68980255,1,1,0.060563197,0.620822295,1,0.04,01.01.2020 12:00
49,0.744880228,1,0.9525,0.052986512,0.719010809,1,0.02,01.01.2020 12:15
50,0.788463982,1,0.9275,0.044496652,0.815847049,1,0,01.01.2020 12:30
51,0.860361332,1,0.887,0.036988098,0.946397465,1,0,01.01.2020 12:45
52,0.935252409,1,0.883,0.02919234,1,1,0,01.01.2020 13:00
53,0.941575426,1,0.8715,0.02869728,1,1,0.02,01.01.2020 13:15
54,0.957415264,1,0.8275,0.029218252,1,1,0.04,01.01.2020 13:30
55,0.261346475,1,0.72,0.029357454,0.310463546,1,0.06,01.01.2020 13:45
56,0.680393244,1,0.72,0.031315297,0.784635537,1,0.08,01.01.2020 14:00
57,0.869,1,0.8395,0.038616669,0.9559,1,0.1,01.01.2020 14:15
58,0.867845507,1,0.9525,0.04643,0.897985466,1,0.12,01.01.2020 14:30
59,0.816217504,1,0.965,0.053112678,0.787870568,1,0.14,01.01.2020 14:45
60,0.766773407,1,0.953,0.057078218,0.690096066,1,0.16,01.01.2020 15:00
