timestep,curve_const,curve_wind,time,oilgas,waterinj
0,1,0.330962784,01.04.2020 00:00,0.985021175,0.8
1,1,0.318066049,01.04.2020 00:05,1.004441185,0.8
2,1,0.305169314,01.04.2020 00:10,0.961458567,0.8
3,1,0.292272579,01.04.2020 00:15,0.978231012,0.8
4,1,0.279375844,01.04.2020 00:20,0.985564265,0.8
5,1,0.266479109,01.04.2020 00:25,0.996892357,0.8
6,1,0.244140154,01.04.2020 00:30,0.992542713,0.8
7,1,0.21520152,01.04.2020 00:35,0.961097758,0.8
8,1,0.190647336,01.04.2020 00:40,0.970295772,0.8
9,1,0.166093151,01.04.2020 00:45,0.994075603,0.8
10,1,0.142759859,01.04.2020 00:50,0.998792664,0.8
11,1,0.124631987,01.04.2020 00:55,0.990624992,0.8
12,1,0.115996227,01.04.2020 01:00,0.957194805,0.8
13,1,0.120714883,01.04.2020 01:05,0.954985658,0.8
14,1,0.125433539,01.04.2020 01:10,0.993892016,0.8
15,1,0.130152195,01.04.2020 01:15,0.992215615,0.8
16,1,0.13487085,01.04.2020 01:20,0.989554514,0.8
17,1,0.139589506,01.04.2020 01:25,0.992507178,0.8
18,1,0.136786787,01.04.2020 01:30,0.971616677,0.8
19,1,0.122702005,01.04.2020 01:35,0.972634105,0.8
20,1,0.108617224,01.04.2020 01:40,0.999239686,0.8
21,1,0.094532442,01.04.2020 01:45,1.000058868,0.8
22,1,0.080230503,01.04.2020 01:50,0.992754026,0.8
23,1,0.064874167,01.04.2020 01:55,0.96305097,0.8
24,1,0.06315196,01.04.2020 02:00,0.973379281,0.8
25,1,0.081834159,01.04.2020 02:05,0.98777865,0.8
26,1,0.09922337,01.04.2020 02:10,0.999293475,0.8
27,1,0.116436437,01.04.2020 02:15,0.989976046,0.8
28,1,0.133649504,01.04.2020 02:20,0.970482164,0.8
29,1,0.153707599,01.04.2020 02:25,0.968028117,0.8
30,1,0.155386395,01.04.2020 02:30,0.985254037,0.8
31,1,0.12905548,01.04.2020 02:35,0.995582184,0.8
32,1,0.106101958,01.04.2020 02:40,0.990490628,0.8
33,1,0.082948932,01.04.2020 02:45,0.96115992,0.8
34,1,0.058089406,01.04.2020 02:50,0.981127676,0.8
35,1,0.032840532,01.04.2020 02:55,0.976759661,0.8
36,1,0.031912689,01.04.2020 03:00,0.987061362,0.8
37,1,0.067458429,01.04.2020 03:05,1.01042743,0.8
38,1,0.101040992,01.04.2020 03:10,0.984550555,0.8
39,1,0.133565831,01.04.2020 03:15,0.968416339,0.8
40,1,0.17445772,01.04.2020 03:20,0.972614514,0.8
41,1,0.22036368,01.04.2020 03:25,0.982712531,0.8
42,1,0.24719383,01.04.2020 03:30,0.997256108,0.8
43,1,0.229815586,01.04.2020 03:35,0.979758296,0.8
44,1,0.216985398,01.04.2020 03:40,0.957502739,0.8
45,1,0.204538488,01.04.2020 03:45,0.984195417,0.8
46,1,0.192091577,01.04.2020 03:50,0.98547724,0.8
47,1,0.179644666,01.04.2020 03:55,1.004126442,0.8
48,1,0.172914609,01.04.2020 04:00,0.999706344,0.8
49,1,0.174759834,01.04.2020 04:05,0.969601219,0.8
50,1,0.176605058,01.04.2020 04:10,0.986420119,0.8
51,1,0.178450282,01.04.2020 04:15,0.982033564,0.8
52,1,0.180295506,01.04.2020 04:20,0.997453302,0.8
53,1,0.18214073,01.04.2020 04:25,1.004468993,0.8
54,1,0.182052298,01.04.2020 04:30,0.982854361,0.8
55,1,0.179063381,01.04.2020 04:35,0.972158798,0.8
56,1,0.176074464,01.04.2020 04:40,0.975533081,0.8
57,1,0.173085546,01.04.2020 04:45,0.97542758,0.8
58,1,0.170096629,01.04.2020 04:50,0.998628911,0.8
59,1,0.167107712,01.04.2020 04:55,0.993765513,0.8
60,1,0.16851257,01.04.2020 05:00,0.974106523,0.8
61,1,0.17650809,01.04.2020 05:05,0.971200008,0.8
62,1,0.18450361,01.04.2020 05:10,0.98714412,0.8
63,1,0.19249913,01.04.2020 05:15,0.997110032,0.8
64,1,0.200494651,01.04.2020 05:20,0.984653919,0.8
65,1,0.208490171,01.04.2020 05:25,0.956764747,0.8
66,1,0.201984578,01.04.2020 05:30,0.982818728,0.8
67,1,0.173727315,01.04.2020 05:35,0.981164356,0.8
68,1,0.146242296,01.04.2020 05:40,0.996390777,0.8
69,1,0.12479485,01.04.2020 05:45,0.983781609,0.8
70,1,0.104611091,01.04.2020 05:50,0.947711251,0.8
71,1,0.08431222,01.04.2020 05:55,0.952924591,0.8
72,1,0.068462557,01.04.2020 06:00,0.992198352,0.8
73,1,0.061059491,01.04.2020 06:05,0.991162744,0.8
74,1,0.053656425,01.04.2020 06:10,0.990930889,0.8
75,1,0.046253359,01.04.2020 06:15,0.956647045,0.8
76,1,0.038850292,01.04.2020 06:20,0.927002786,0.8
77,1,0.031447226,01.04.2020 06:25,0.957869995,0.8
78,1,0.025736586,01.04.2020 06:30,1.008731952,0.8
79,1,0.022564583,01.04.2020 06:35,1.003158295,0.8
80,1,0.019392581,01.04.2020 06:40,0.979954245,0.8
